"Organization","Address","City","Zip","Phone","Service.Area","lon","lat"
"Township Supervisor South Cook – Worth","11601 S Pulaski Rd","Alsip",60803,"(708) 371-2900","Suburban Cook South",-87.7193397,41.6818542
"Township Supervisor Northwest Cook – Wheeling","1616 N Arlington Heights Rd","Arlington Heights",60004,"(847) 259-7730","Suburban Cook Northwest",-87.9808307,42.1062538
"Hanover Township Youth and Family Services","250 S Rte 59","Bartlett",60103,"(630) 837-0301","Suburban Cook Northwest",-88.2086062,41.991159
"Louis S Viverito Senior Center","7745 S Leamington","Burbank",60459,"(708) 636-8850","Suburban Cook West",-87.7491145,41.7515809
"Calumet City Resources","502 155th Pl","Calumet City",60409,"(708) 891-9330","Suburban Cook South",-87.5372964,41.6131379
"Second Harvest","35 E Wacker Dr","Chicago",60601,"(312) 263-2303","Chicago Loop",-87.6267992,41.8866286
"CEDA Administrative Office","208 S La Salle St","Chicago",60604,"(312) 795-8844","Chicago Loop",-87.6324855,41.8790834
"Heartland Alliance for Human Needs and Human Rights","208 S La Salle St","Chicago",60604,"(312) 629-4500","Chicago Loop",-87.6324855,41.8790834
"Illinois Migrant Council","28 E Jackson Blvd","Chicago",60604,"(312) 663-1522","Chicago Loop",-87.626506,41.8783571
"Illinois Hunger Coalition","205 W Monroe St","Chicago",60606,"(312) 629-9580","Chicago Loop",-87.634139,41.8803969
"Ada S McKinley Community Service","725 S Wells St","Chicago",60607,"(312) 385-2000","Chicago Loop",-87.6332523,41.8725857
"Friendship House Chicago","700 S Morgan St","Chicago",60607,"(773) 777-4954","Chicago West",-87.6515633,41.8725356
"Little Brothers Friends of the Elderly","355 N Ashland Ave","Chicago",60607,"(312) 455-1000","Chicago West",-87.6664547,41.888092
"Salvation Army – Corps Community Center Temple","1 N Ogden Ave","Chicago",60607,"(312) 492-6803","Chicago West",-87.6652387,41.8816901
"Benton House","3052 S Gratten Ave","Chicago",60608,"(773) 927-6420","Chicago South",-87.6541275,41.8388578
"Casa Aztlan","1831 S Racine Ave","Chicago",60608,"(312) 666-5508","Chicago West",-87.6561481,41.8570034
"Chicago Christian Industrial League","2750 W Roosevelt St","Chicago",60608,"(773) 435-8300","Chicago West",-87.695016,41.8670529
"Pilsen Little Village Community Mental Health Center Administrative Office","2319 S Damen Ave","Chicago",60608,"(773) 579-0832","Chicago West",-87.6754505,41.8495929
"Firman Community Services","144 W 47th St","Chicago",60609,"(773) 373-3400","Chicago South",-87.6299469,41.8094159
"Firman Community Services – Food Pantry","4644 S Dearborn St","Chicago",60609,"(773) 373-3400","Chicago South",-87.6274626,41.809846
"Catholic Charities Chicago","721 N La Salle St","Chicago",60610,"(312) 655-7000","Chicago West",-87.6323269,41.8952047
"Catholic Charities Chicago – Central Information and Referral","721 N La Salle St","Chicago",60610,"(312) 655-7700","Chicago West",-87.6323269,41.8952047
"Catholic Charities Chicago – Central States Institute of Addiction","651 W Lake St","Chicago",60610,"(312) 655-7530","Chicago North",-87.6447777,41.8854198
"Catholic Charities Chicago – Emergency Assistance","721 N La Salle St","Chicago",60610,"(312) 655-7516","Chicago North",-87.6323269,41.8952047
"Salvation Army – West Town","506 N Desplaines St","Chicago",60610,"(312) 738-4367","Chicago West",-87.6446248,41.8916217
"American Red Cross","2200 W Harrison St","Chicago",60612,"(312) 729-6100","Chicago West",-87.6816923,41.8744605
"Cathedral Shelter of Chicago","1668 W Ogden Ave","Chicago",60612,"(312) 997-2222","Chicago North",-87.6688935,41.8794219
"Cathedral Shelter of Chicago – Outpatient Addiction Services","1668 W Ogden Ave","Chicago",60612,"(312) 997-2222","Chicago North",-87.6688935,41.8794219
"Catholic Charities Chicago – Our Lady of Sorrows Emergency Services Center","3129 W Jackson Blvd","Chicago",60612,"(312) 638-1152","Chicago West",-87.7046196,41.877076
"Chicago Commons – Mile Square Center","2312 W Warren Blvd","Chicago",60612,"(312) 226-8606","Chicago West",-87.6845219,41.8823335
"Chicago Department of Human Services – Garfield Center","10 S Kedzie Ave","Chicago",60612,"(312) 746-5400","Chicago West",-87.7065975,41.880505
"Onward Neighborhood House","600 N Leavitt St","Chicago",60612,"(312) 666-6726","Chicago West",-87.6820429,41.8924975
"Salvation Army – Corps Community Center Midwest","20 S Campbell Ave","Chicago",60612,"(312) 733-4801","Chicago West",-87.6893118,41.8804331
"Lakeview Pantry","3831 N Broadway Ave","Chicago",60613,"(773) 525-1777","Chicago North",-87.6494334,41.9521665
"Christopher House","2507 N Greenview Ave","Chicago",60614,"(773) 472-1083","Chicago North",-87.665624,41.9272733
